category,city,full,title,text,county,press,link,date
no-cat,Baia Mare,,"Electrica, învinsă în instanţă de fostul deputat Doru Leşe, va plăti daune morale de 5.000 de euro","Doru Leşe, fostul
director de la Electrica, a câştigat în instanţă daune morale de 5.000 de euro
după ce a fost schimbat din funcţie în mod abuziv, în 2015. El mai are un
proces pe rol cu aceeaşi instituţie.",Maramureş,Adevarul,http://adevarul.ro/locale/baia-mare/electrica-invinsa-instanta-fostul-deputat-doru-lese-plati-daune-morale-5000-euro-1_571796585ab6550cb82eba53/index.html,2016-04-20 00:00:00
no-cat,Oradea,,"Şpagă pentru medic: bani, whisky şi ciocolată. Ce urma să facă doctorul în schimbul produselor obţinute","Un medic de la Spitalului Clinic de Recuperare Medicală Băile Felix - Compartimentul Ambulatoriu integrat al Spitalului din Hotel Ceres Băile 1 Mai a fost reţinut de procurorii Parchetului de pe lângă Tribunalul Bihor. El ar fi primit mită bani, o sticlă de whisky şi o cutie de ciocolată în schimbul acestora eliberând concediu medical denunţătorului.",Bihor,Adevarul,http://adevarul.ro/locale/oradea/Spaga-medic-bani-whisky-ciocolata-urma-faca-doctorul-schimbul-produselor-obtinute-1_571635875ab6550cb82596f9/index.html,2016-04-19 00:00:00
no-cat,Zalău,,"O inscripţie romană valoroasă, distrusă de „Dorel“: „Constructorul care lucra la instalaţia electrică a dat cu utilajele peste ea“","O inscripţie despre care se
crede că ar proveni de pe vremea împăratului roman Caracalla se află în plin
proces de restaurare, după ce a fost spartă de utilajele unei firme care lucra
pe situl arheologic unde a fost descoperită.",Sălaj,Adevarul,http://adevarul.ro/locale/zalau/o-inscriptie-romana-valoroasa-distrusa-dorel-constructorul-lucra-instalatia-electrica-dat-utilajele-ea-1_571645765ab6550cb8260caf/index.html,2016-04-19 00:00:00
no-cat,Bucureşti,,Moscheea din Bucureşti a primit avizul de construire din partea Primăriei Sectorului 1,"Moscheea din Bucureşti a primit avizul de construire din partea Primăriei Sectorului 1. Lăcaşul de cult dedicat comunităţii musulmane va fi situat în zona Romexpo, pe un teren alocat de Guvernul României în vara anului 2015.",Bucureşti,Adevarul,http://adevarul.ro/news/bucuresti/moscheea-bucuresti-primit-avizul-construire-partea-primariei-sectorului-1-1_570f930b5ab6550cb8faa82e/index.html,2016-04-14 00:00:00
no-cat,Satu Mare,,Metode simple prin care firmele fantomă ne pot ţepui şi la ce trebuie să fim atenţi când cumpărăm un produs,"Tot mai mulţi români sesizează autorităţile după ce îşi dau seama că au fost înşelaţi de reprezentanţii unor firme care le-au luat banii pe anumite produse care nu se potriveau deloc cu descrierea, ori în alte cazuri de persoane care folosindu-se de anumite slăbiciuni emoţionale au ajuns să îi şantajeze, lăsându-i fără nici un leu. Metodele sunt diverse, iar cei carele practică sunt pe zi ce trece tot mai greu de identificat.",Satu-Mare,Adevarul,http://adevarul.ro/locale/satu-mare/metode-simple-firmele-fantoma-tepui-trebuie-atenti-cumparam-produs-1_570a57385ab6550cb8d4b8a3/index.html,2016-04-11 00:00:00
no-cat,Baia Mare,,"Un bărbat a căzut de pe podul plutitor în Someş, cu tot cu tractor","Un bărbat din Lucăceşti s-a înecat după ce a căzut, cu tot cu tractor,
de pe podul plutitor în râul Someş. Pompierii sunt încă la faţa locului.",Maramureş,Adevarul,http://adevarul.ro/locale/baia-mare/un-barbat-cazut-podul-plutitor-somes-tractor-1_570e6f595ab6550cb8f2f18d/index.html,2016-04-13 00:00:00
no-cat,Vaslui,,"Doctoriţa din Vaslui acuzată că lua şpagă pentru a face ilegal avorturi revine la bolnavele „proaste, fără bani de autobuz”: „N-are nicun ban şi a venit la mine”","Acuzată de săvârşirea a 25 de infracţiuni de luare de mită, patru infracţiuni de fals intelectual şi o infracţiune de
sustragere de înscrisuri, ginecologul vasluian Doina Andrei a primit permisiunea judecătorilor de a-şi practica meseria, însă nu în spitale publice, ci doar în sistemul privat.",Vaslui,Adevarul,http://adevarul.ro/locale/vaslui/doctorita-vaslui-acuzata-lua-spaga-avorturi-ilegale-revine-bolnavele-proaste-bani-autobuz-n-are-nicun-ban-venit-mine-1_57133d1c5ab6550cb8116491/index.html,2016-04-17 00:00:00
no-cat,Baia Mare,,"Evaziune fiscală cu
medicamente. Suspecţii au avut complici la farmacie","O întreagă reţea care
făcea ”afaceri” cu medicamente a fost destructurată de poliţişti. Se pare că
cei implicaţi aveau complici la farmacie şi puneau la dispoziţia bolnavilor
medicamente ieftine de pe piaţa nagră, în timp ce ei îşi decontau medicamentele
prescrise pe reţetă, însuşindu-şi diferenţa de preţ.",Maramureş,Adevarul,http://adevarul.ro/locale/baia-mare/evaziune-fiscala-cumedicamente-suspectii-avut-complici-farmacie-1_570eaad55ab6550cb8f44dc3/index.html,2016-04-13 00:00:00
no-cat,Vaslui,,"Top anecdote şi replici celebre din istorie: „Daţi-le şefi buni românilor şi nu veţi găsi trupe mai bune“, „Asta-i muzica ce-mi place“, „Pe aici nu se trece“","Au rămas celebre în istorie expresii precum „Asta-i muzica ce-mi place“, „Arme, arme, daţi-mi arme!“ sau „Pe aici nu se trece“, dar mai puţin cunoscute sunt întâmplările în care au fost rostite, dar şi personajele care le-au spus.",Vaslui,Adevarul,http://adevarul.ro/locale/vaslui/top-anecdote-replici-celebre-istorie-dati-le-sefi-buni-romanilor-nu-veti-gasi-trupe-mai-bune-asta-i-muzica-ce-mi-place-pe-nu-trece-1_57112d715ab6550cb8051c07/index.html,2016-04-17 00:00:00
no-cat,Hunedoara,,"Un şofer băut a fost încătuşat de poliţişti, după o urmărire pe străzile din Orăştie. Tânărul nu avea permis auto şi a fost la un pas să provoace un accident","Un tânăr şofer care nu a oprit la semnalul poliţiştilor a fost urmărit mai mulţi kilometri de maşinile Poliţiei. Bărbatul a fost blocat pe o stradă din Orăştie, după ce efectuase trei depăşiri neregulamentare, riscând să provoace accidente grave, iar poliţiştii au constatat că nu avea permis auto şi că a consumat băuturi alcoolice.",Hunedoara,Adevarul,http://adevarul.ro/locale/hunedoara/un-sofer-baut-fost-incatusat-politisti-urmarire-strazile-orastie-tanarul-nu-permis-auto-fost-pas-provoace-accident-1_5717c1285ab6550cb82fd270/index.html,2016-04-20 00:00:00
no-cat,Timişoara,,FOTO Locul cu cea mai mare altitudine din Timişoara a devenit cel mai jos punct de pe uscat din oraş,"Piaţa Sfântul Gheorghe din Timişoara poate fi luată în primire de artişti. În urma reabilitării pe fonduri europene, piaţa a căpătat o nouă faţă.",Timiş,Adevarul,http://adevarul.ro/locale/timisoara/foto-locul-cea-mai-inalta-altitudine-timisoara-devenit-mai-jos-punct-uscat-oras-1_57149dcf5ab6550cb81b654d/index.html,2016-04-18 00:00:00
no-cat,Alba Iulia,,Cum a câştigat procesul cu ANI un fost deputat de Alba care şi-a angajat fiica la cabinetul parlamentar,"Fostul deputat Corneliu Olar, în prezent candidat al PNL pentru funcţia de primar în comuna Horea din Apuseni, a câştigat prima etapă a procesului de incompatibilitate cu Agenţia Naţională de Integritate, acre îl acuză că şi-a angajat ilegal fiica la cabinetul parlamentar. Olar a obţinut anularea raportului ANI pe motiv că legea nu prevedea o interdicţie la momentul existenţei contractului de muncă.",Alba,Adevarul,http://adevarul.ro/locale/alba-iulia/cum-castigat-procesul-ani-fost-deputat-alba-si-a-angajat-fiica-cabinetul-parlamentar-1_571759765ab6550cb82cf7ca/index.html,2016-04-20 00:00:00
no-cat,Vaslui,,"FOTO Zeci de maşini de spălat au căzut dintr-un TIR în apropiere de Huşi, blocând Drumul European 581","Traficul rutier a fost blocat pe un sens de mers dumincă după amiază pe DE 581, după ce zeci de maşini de spălat au căzut dintr-un tir pe şosea, în apropiere de municipiul Huşi.",Vaslui,Adevarul,http://adevarul.ro/locale/vaslui/foto-zeci-masini-spalat-cazut-dintr-un-tir-apropiere-husi-blocand-drumul-european-581-1_5713d61c5ab6550cb815900b/index.html,2016-04-17 00:00:00
no-cat,Vaslui,,"Ce s-a ales de operaţiunea „Curăţenia în vămi“ din 2011. Vameşii de la Albiţa, singurii care nu au fost condamnaţi şi au scăpat de orice restricţii","Aproape 300 de poliţişti de frontieră şi vameşi au fost ridicaţi de DNA în 2011, când, rând pe rând, marile puncte de frontieră ale României au fost ţinta descinderilor procurorilor anticorupţie. Dintre toţi, vameşii şi poliţiştii de frontieră inculpaţi din Vama Albiţa sunt singurii care nu au primit încă sentinţa nici măcar la instanţa de fond.",Vaslui,Adevarul,http://adevarul.ro/locale/vaslui/ce-s-a-ales-operatiunea-curatenia-vami-2011-vamesii-albita-singurii-nu-fost-condamnati-scapat-restrictii-1_5714da475ab6550cb81d5f54/index.html,2016-04-18 00:00:00
no-cat,Vaslui,,Cea mai ciudată tentativă de suicid: un tânăr din Puieşti a reuşit să-i uimească pe medicii bârlădeni,"Un bărbat de 34 de ani cu multiple tentative de suicid în istoric, a reuşit  să scape din ghearele morţii după ce a mâncat un termometru",Vaslui,Adevarul,http://adevarul.ro/locale/vaslui/cea-mai-ciudata-tentativa-suicid-tanar-puiesti-reusit-sa-i-uimeasca-medicii-barladeni-1_5714f5905ab6550cb81e0df0/index.html,2016-04-18 00:00:00
no-cat,Braşov,,Cele mai frecvente greşeli pe care le facem în educaţia copiilor: sfaturile psihologilor,"Nu există părinte
perfect care să nu facă greşeli atunci când vine vorba de edicaţia celui mic.
Psihologii spun însă că sunt anumite lucruri pe care trebuie obligatoriu să le
evităm dacă vrem să avem un copil echilibrat şi independent.",Braşov,Adevarul,http://adevarul.ro/locale/brasov/cele-mai-frecvente-greseli-facem-educatia-copiilor-sfaturile-psihologilor-1_5715f4715ab6550cb8237ae3/index.html,2016-04-20 00:00:00
no-cat,Alba Iulia,,"Regele Ludovic cel Mare, în vizită la Alba Iulia. A vrut să-l aresteze pe episcopul cetăţii pentru că nu l-a primit în oraş","Alba Iulia a fost de-a lungul secolelor unul dintre locurile importante pentru marii conducători ai vremurilor. Unul dintre aceştia a fost regele Ludovic cel Mare, care, în cursul unei domnii de patru decenii, a ajuns în Transilvania, respectiv la Alba Iulia, în şapte rânduri.",Alba,Adevarul,http://adevarul.ro/locale/alba-iulia/regele-ludovic-mare-vizita-alba-iulia-vrut-sa-l-aresteze-episcopul-cetatii-nu-l-a-primit-oras-1_5710c4025ab6550cb8026be3/index.html,2016-04-16 00:00:00
no-cat,Sibiu,,Ce averi au principalii candidaţi al Primăria Sibiu,"Cel mai înstărit competitor anunţat până acum în cursa electorală de la Sibiu este fostul prefect al oraşului, Ovidiu Sitterli, care candidează din partea PSD.",Sibiu,Adevarul,http://adevarul.ro/locale/sibiu/ce-averi-principalii-candidati-primaria-sibiu-1_571760635ab6550cb82d34f3/index.html,2016-04-20 00:00:00
no-cat,Alba Iulia,,"Peste 1.500 de persoane, la un protest organizat la Alba Iulia pentru susţinerea familiei Bodnariu","Peste 1.500 de persoane au participat, sâmbătă, la Alba Iulia la un marş şi un miting organizat pentru susţinerea familiei Bodnariu din Norvegia, rămasă fără copii după ce aceştia au fost luaţi, în urmă cu cinci luni, de Serviciul pentru Protecţia Copilului din Norvegia (Barnevernet).",Alba,Adevarul,http://adevarul.ro/locale/alba-iulia/peste-1500-persoane-protest-organizat-alba-iulia-sustinerea-familiei-bodnariu-1_571273b75ab6550cb80c5e91/index.html,2016-04-16 00:00:00
no-cat,Braşov,,"Ciprian
Lolu a devenit primul român care a terminat La Grande Course, cea mai dură
competiţie de schi alpinism din lume","Ciprian Lolu a reuşit să încheie luna aceasta ultima
dintre cele şase etape ale ale cursei curselor. Mai are în palmares un record naţional, fiind primul
român care a urcat pe schiuri pe vârful 
Mustang Aza (7546 de metri).",Braşov,Adevarul,http://adevarul.ro/locale/brasov/ciprianlolu-devenit-roman-terminat-grande-course-cea-mai-duracompetitie-schi-alpinism-lume-1_571600e85ab6550cb823d705/index.html,2016-04-19 00:00:00
no-cat,Braşov,,"După o bătălie internă între social- democraţii din Braşov şi cei de la Centru, Răzvan Popa rămâne candidatul PSD la
Primărie","După două
săptămâni de tensiune între Organizaţia Municipală a PSD Braşov şi structura
centrală a partidului, s-a ajuns la un consens în ceea de priveşte candidatul la
Primăria Braşov. Răzvan Popa rămâne în cursă din partea PSD după ce structura
centrală a încercat să îl impună ca şi candidat pe Cătălin Leonte.",Braşov,Adevarul,http://adevarul.ro/locale/brasov/dupa-batalie-interna-social--democratii-brasov-cei-centru-ravan-popa-ramane-candidatul-psd-laprimarie-1_571611095ab6550cb8245bbb/index.html,2016-04-19 00:00:00
no-cat,Braşov,,Agresor reţinut după ce a înfipt furca în burta adversarului,"Procurorii Parchetului de pe lângă Tribunalul Braşov au început, luni, urmărirea penală împotriva lui Ioan Iacob, pentru tentativă de omor. Acesta a fost prezentat astăzi magistraţilor Tribunalului Braşov cu propunerea de arestare preventivă.",Braşov,Adevarul,http://adevarul.ro/locale/brasov/agresor-retinut-infipt-furca-burta-adversarului-1_57162b425ab6550cb8254ee4/index.html,2016-04-19 00:00:00
no-cat,Braşov,,"Circulaţie
restricţionată joi în centrul oraşului cu ocazia Crosului Universităţii Transilvania","Traficul
va fi restricţionat aproximativ o jumătate de oră pe banda de pe partea stângă
pe traseul Livada Poştei- Eroilor-Castanilor-Iuliu Maniu.",Braşov,Adevarul,http://adevarul.ro/locale/brasov/circulatierestrictionata-joi-centrul-orasului-ocazia-crosului-universitatii-transilvania-1_5715e49d5ab6550cb822ebda/index.html,2016-04-19 00:00:00
no-cat,Braşov,,"Aeroportul Braşov, o veste proastă, dar şi speranţe de mai bine","Vicepreşedintele Consiliului Judeţean Braşov, Adrian Gabor, a anunţat astăzi, într-o conferinţă de presă, că  „după două luni de mers la ministerul Dezvoltării, al Finanţelor şi al Justiţiei, am ajuns la concluzia că singura soluţie pentru rezolvarea problemei terenului Aeroportului este modificare Legii 297/2015, prin care se dădea terenul de la Institutul Cartofului către Consiliul Judeţean Braşov”.",Braşov,Adevarul,http://adevarul.ro/locale/brasov/aeroportul-brasov-veste-proasta-sperante-mai-bine-1_5716305b5ab6550cb8256e5b/index.html,2016-04-19 00:00:00
no-cat,Piatra Neamţ,,"Istoria muntenilor, într-un muzeu etnografic la poale de Ceahlău. Casă şi ateliere tradiţionale reconstruite la Grinţieş","O asociaţie culturală a iniţiat construirea unui muzeu etnografic şi a unor ateliere de fierărie şi cărăuşie în comuna Grinţieş. Astfel, vor fi readuse în actualitate preocupările localnicilor de la început de secol XX.",Neamţ,Adevarul,http://adevarul.ro/locale/piatra-neamt/istoria-muntenilor-intr-un-muzeu-etnografic-poale-ceahlau-casa-ateliere-traditionale-reconstruite-grinties-1_57037cb45ab6550cb89c3e26/index.html,2016-04-05 00:00:00
no-cat,Târgu-Mureş,,"Ciprian Dobre,
urmărit penal de procurorii D.N.A.","Preşedintele
Consiliului Judeţean Mureş, Ciprian Dobre este suspect de luare de mită,
spălare de bani şi folosirea influenţei ori autorităţii în scopul obţinerii
pentru sine ori pentru altul de bani, bunuri sau alte foloase necuvenite. Procurorii
DNA au dispus urmărirea penală a acestuia.",Mureş,Adevarul,http://adevarul.ro/locale/targu-mures/ciprian-dobreurmarit-penal-procurorii-dna-1_57175b975ab6550cb82d09a9/index.html,2016-04-20 00:00:00
no-cat,Reşiţa,,"EXCLUSIV Sex pentru note la facultate. Profesor: „Stai, mă, olteanco, cuminte, nu mă zăpăci. Deci nu mai îs bun de nimic dacă nu mă laşi să te sărut”","Procurorii
Parchetului General au realizat joi dimineaţă un flagrant la
Universitatea „Eftimie Murgu“ din Reşiţa, acolo unde mai mulţi profesori ar fi
acuzaţi de luare mită.",Caraş Severin,Adevarul,http://adevarul.ro/locale/resita/flagrant-universitatea-eftimie-murgu-resita-condusa-sotia-baronului-frunzaverde-1_559e187cf5eaafab2c63ec23/index.html,2015-07-09 00:00:00
