category,city,title,text,county,date,link,press
"Sănătate,Social",Botosani," Construcția Spitalului de Boli Cronice din Botoșani, scoasă din nou la licitație","
								,Compania Națională de Investiții a demarat procedura de achiziție publică în vederea implementării obiectivului “Spital municipal de boli cronice si ingrijiri paleative” in Municipiul Botosani. Data stabilita pentru depunerea ofertelor este 11 mai 2016. Licitația a fost suspendată într-o primă etapă, firmele interesate solicitând mai multe informații cu privire la documentația tehnică.,
,Noul spital se va construi în curtea Spitalului Municipal de Recuperare Sfântul Gheorghe şi va avea o capacitate de aproximativ 100 de locuri.,
,Valoarea estimata, exclusiv TVA, este de 14.767.120 lei.,
, ,
															,
							",Botosani,,http://botosaninews.ro/280014/social/constructia-spitalului-de-boli-cronice-din-botosani-scoasa-din-nou-la-licitatie/,BotosaniNews
ADMINISTRAȚIE,Botosani, Posturi de consilier scoase la concurs de Primăria Botoșani,"
								,Primăria municipiului Botoșani organizează în perioada 18 – 20 mai 2016 concurs de recrutare pentru ocuparea pe durată nedeterminată a două funcții publice de execuție vacante de consilier juridic clasa I grad profesional debutant din cadrul Oficiului Juridic Contencios.,
,Concursul va avea loc la sediul Primăriei municipiului Botoșani din Piata Revolutiei nr. 1, și va fi alcătuit din două probe: proba scrisă, care va avea loc pe 18 mai 2016 ora 10 și interviul – 20 mai 2016.,
,Candidatii trebuie se indeplinească următoarele conditii – studii universitare de licente absolvite cu diplomă, respectiv studii superioare de lunga durată, absolvite cu diplomă de licentă sau echivalentă în domeniul Stiințelor juridice. Dosarele de înscriere se pot depune pani la data de 9 mai 2016,  la sediul Primăriei municipiului Botoșani.,
, ,
															,
							",Botosani,,http://botosaninews.ro/279986/administratie/post-de-consilier-scos-la-concurs-de-primaria-botosani-11/,BotosaniNews
ADMINISTRAȚIE,Botosani," Biroul Electoral Judeţean, completat cu reprezentanţii partidelor. Cine sunt membrii!","
								,Biroul Electoral Judeţean (BEJ)  Botoşani a fost completat, vineri, cu reprezentanţii partidelor politice parlamentare. Astfel, pe lângă preşedintele BEJ, judecătoarea Mihaela Ungureanu, şi locţiitoarea acesteia, judecătoarea Mărioara Ilie, în această structură au mai acces, ca şi membri, Maria Riza- PNL, Fedor Gheorghe – UNPR, Ionel Macovei- ALDE, Valeriu Aritonovici- UDMR şi Cornel Mihnea Ateşoaie- PSD.,
,Propuneri pentru accederea în BEJ, în această etapă, au făcut şi Uniunea Ucrainenilor din România, dar şi Partidul Ecologist Român, însă acestea au fost respinsă, pentru că nu sunt reprezentate în Parlament.,
,De asemenea, a fost completat şi Biroul Electoral al municipiului Botoşani. Pe lângă Adrian Toporăscu- preşedinte şi judecătorul Adrian Murariu- locţiitor, membri sunt Camelia Bejinariu- UNPR, Daniel Agheniței- UDMR, Sergiu Burlacu- PNL, Costică Holcă- PSD şi Octavian Munteanu- ALDE.,
															,
							",Botosani,,http://botosaninews.ro/279990/administratie/biroul-electoral-judetean-completat-cu-reprezentantii-partidelor-cine-sunt-membrii/,BotosaniNews
Politic,Botosani," Fostul ministru al Finanțelor, Eugen Teodorovici, întâlnire cu oamenii de afaceri din Botoșani","
								,Fostul ministru al Finanțelor și al Fondurilor Europene, Eugen Teodorovici, se va întâlni săptămâna viitoare cu oamenii de afaceri din județul Botoșani. Invitația a fost făcută de senatorul PSD, Doina Federovici.,
,”,Săptămâna viitoare domnia sa va fi prezent la Botoșani, la o dezbatere publică cu patronatele din județul nostru,”, a spus Federovici.,
, ,
															,
							",Botosani,,http://botosaninews.ro/279989/politic/fostul-ministru-al-finantelor-eugen-teodorovici-intalnire-cu-oamenii-de-afaceri-din-botosani/,BotosaniNews
Eveniment,Botosani, Judecătorii Tribunalului Botoşani au decis asupra arestării lui Florin Ţurcanu,"
								,Judecătorii Tribunalului Botoşani s-au pronunţat, vineri, în ceea ce priveşte măsura de arest preventiv a fostului preşedinte al Consiliului Judeţean, Florin Ţurcanu.,
,După ce dosarul de corupţie a fost trimis, prin rechizitoriu, de procurorii DNA la instanţă, judecătorii au verificat măsura preventivă dispusă de anchetatori. Instanţa a menţinut măsura, însă decizia poate fi atacată la Curtea de Apel Suceava.,
,Florin Ţurcanu este acuzat de trafic de influenţă şi spălarea banilor după ce i-a promis omului de afaceri Marcel Bârsan că îi va da mai multe contracte dacă îi va contrui o casă în zona Lebăda.,
, ,
															,
							",Botosani,,http://botosaninews.ro/279991/eveniment/judecatorii-tribunalului-botosani-au-decis-asupra-arestarii-lui-florin-turcanu/,BotosaniNews
Eveniment,Botosani, FOTO Tânăr ajuns la spital după ce şi-a tăiat venele din dragoste,"
								,Un tânăr a ajuns, vineri după amiază, la spital cu venele tăiate la mâna stângă după o decepţie în dragoste. Adrian M., de 23 de ani, din comuna Durneşti a avut o ceartă cu iubita sa şi şi-a tăiat venele.,
,Tânărul a pierdut mult sânge fiind preluat de o ambulanţă şi apoi de un echipaj SMURD. Medicii au reuşit să îl stabilizeze şi l-au dus la Unitatea de Primiri Urgenţe a Spitalului Judeţean Mavromati.,
															,
							",Botosani,,http://botosaninews.ro/280018/eveniment/foto-tanar-ajuns-la-spital-dupa-ce-si-a-taiat-venele-din-dragoste/,BotosaniNews
Cultură,Botosani, Epigrama zilei: Omului de afaceri cercetat pentru evaziune,"
								,Profitul lui, neaşteptat,,
,Lumea în două-a divizat:,
,Prietenii spun: e viziune,,
,Iar ceilalţi spun: evaziune!,
,de Toni Monacu,
															,
							",Botosani,,http://botosaninews.ro/280022/cultura/epigrama-zilei-omului-de-afaceri-cercetat-pentru-evaziune/,BotosaniNews
Politic,Botosani," Mega-proiect european propus de un lider PNL. Botoșaniul și Suceava, la pachet","
								,Județele Botoșani și Suceava vor să se alieze pentru un mega- proiect european. Anunțul a fost făcut, vineri, de liderul PNL Gheorghe Flutur, de la Suceava, care susține că această asociere are ca principal scop dezvoltarea celor două județe.,
,„Unul din proiectele mari este cel legat de asocierea cu județul Botoșani, un proiect de anvergură la care împreună domnul Lungu și cu colegi din Botoșani am discutat deja și punem bazele unei Asociații Intercomunitare Suceava-Botoșani, pentru un mare proiect european de pe lista președintelui Comisiei Europene”,, a declarat liderul liberalilor suceveni. Deocamdată, acesta nu a oferit mai multe detalii despre proiect.,
															,
							",Botosani,,http://botosaninews.ro/280027/politic/mega-proiect-european-propus-de-un-lider-pnl-botosaniul-si-suceava-la-pachet/,BotosaniNews
Sport,Botosani, Astăzi: CFR Cluj- FC Botoșani,"
								,FC Botoșani întâlnește, sâmbătă seară, în deplasare, pe CFR Cluj, într/un meci contând pentru etapa a 7-a play-out-ului Ligii 1 la fotbal.,
,Partida va începe de la ora 18.00 și va fi transmisă în direct de Digi Sport și Dolce Sport, dar și live text de BotosaniNews.,
,Înaintea acestui joc, FC Botoșani este pe locul 5 în clasament, cu 21 de puncte, iar CFR Cluj pe 3 cu 23 de puncte. O eventuală victorie a formației lui Leo Groyavu ar putea propulsa Botoșaniul înaintea Clujului..,
,În primul meci al etapei, Petrolul a învins, vineri seară, cu 1-0 pe CSU Craiova.,
,
,
,
,1,
,CSMS Iasi,
,6,
,2,
,2,
,2,
,6-5, (1),
,27, *,
,
,
,2,
,CS Universitatea Craiova,
,7,
,3,
,1,
,3,
,7-7, (0),
,26, *,
,
,
,3,
,CFR Cluj,
,6,
,2,
,3,
,1,
,7-4, (3),
,23, *,
,
,
,4,
,FC Voluntari,
,6,
,3,
,1,
,2,
,6-7, (-1),
,22,
,
,
,5,
,FC Botosani,
,6,
,2,
,2,
,2,
,9-7, (2),
,21,
,
,
,6,
,Concordia Chiajna,
,6,
,2,
,3,
,1,
,6-4, (2),
,18, *,
,
,
,7,
,ACS Poli Timisoara,
,6,
,1,
,2,
,3,
,5-11, (-6),
,18, *,
,
,
,8,
,Petrolul Ploiesti,
,7,
,2,
,2,
,3,
,5-6, (-1),
,12,
,
,
,
, ,
, ,
															,
							",Botosani,,http://botosaninews.ro/280037/sport/astazi-cfr-cluj-fc-botosani-4/,BotosaniNews
Cultură,Botosani," Biblioteca Județeană Botoşani se pregăteşte de Săptămâna altfel – “Să ştii mai multe, să fii mai bun”","
								,Seria activităţilor va debuta, luni, cu vizita ghidată organizată la Biblioteca de Limbi Străine de micuţii de la Grădiniţa nr. 10 Botoşani şi “Excursia printre cărţi” făcută la Filiala nr. 1 Primăverii de elevii clasei a II-a C de la Şcoala Gimnazială nr. 12 Botoşani (înv. Aparaschivei Ovidiu şi înv. Balan Lăcrămioara).,
,Aceeaşi filiala din strada Primăverii va fi marţi  gazda manifestării “Casa noastră – Pământul”. Organizată cu ocazia Zilei Mondiale a Pământului (22 aprilie) şi avându-i ca parteneri pe Şcoala Generală “Grigore Antipa” şi Liceul Pedagogic “Nicolae Iorga” (coord. prof. Mirela Antoche şi prof. Diana Cărbunaru), acţiunea îşi propune să trezească interesul faţă de protecţia mediului înconjurător.,
,Elevii vor prezenta eseuri având ca teme modalităţi simple, la îndemâna oricui, de combatere a poluării, de protejare a Pământului şi a resurslor sale. Tot marţi, dar la Biblioteca de Limbi Străine, elevii Liceului “Elie Radu” Botoşani şi ai Liceului Truşeşti vor fi invitaţi la prezentarea “Mesaje cu antiviolenţa în viaţa de zi cu zi”.,
, ,
															,
							",Botosani,,http://botosaninews.ro/280031/cultura/biblioteca-botosani-se-pregateste-de-saptamana-altfel-sa-stii-mai-multe-sa-fii-mai-bun/,BotosaniNews
