category,city,title,text,county,date,link,press
,,Unul din milionarii Clujului a alergat la Maratonul Internaţional de la Cluj. ”Cei 61 de ani nu şi-au spus cuvântul”,"Unul dintre milionarii Clujului, Octavian Buzoianu, totodată candidat independent la Primăria Clujului, a alergat la Maratonul Internaţional care s-a desfăşurat duminică, 10 aprilie, în capitala Ardealului. El a alergat 10 kilometri.",Cluj-Napoca,04-10-16,http://adevarul.ro/locale/cluj-napoca/unul-milionarii-clujului-alergat-maratonul-international-cluj-cei-61-ani-nu-si-au-spus-cuvantul-1_570a87bd5ab6550cb8d653ec/index.html,Adevarul
,,"Top 10 bancuri spumoase cu intelectuali. Ce descoperă Einstein, Newton şi Pascal când se joacă de-a v-aţi ascunselea","Nu doar politicienii sau
fotbaliştii sunt protagonişti ai bancurilor. Şi pe seama intelectualilor se fac
glume. „Adevărul“ vă propune astăzi o selecţie cu
cele mai bune bancuri despre intelectuali.",Oradea,04-09-16,http://adevarul.ro/locale/oradea/top-10-bancuri-spumoase-intelectuali-descopera-einstein-newton-pascal-joaca-de-a-v-ati-ascunselea-1_5707723e5ab6550cb8c16258/index.html,Adevarul
,,E oficial! Halep şi Kerber vin la Cluj în meciul de FED Cup România - Germania,"E oficial! Cele mai bune jucătoare de tenis ale României şi Germaniei, în frunte cu Simona Halep (nr 6 mondial WTA), respectiv Angelique Kerber (nr 2 WTA), vin la meciul de FED Cup dintre cele două ţări, programat pe 16-17 aprilie la Sala Polivalentă din Cluj.",Cluj-Napoca,04-06-16,http://adevarul.ro/locale/cluj-napoca/e-oficial-halep-kerber-vin-cluj-meciul-fed-cup-romania-germania-1_570524c35ab6550cb8af7d96/index.html,Adevarul
,,"EXCLUSIV Cum l-a agăţat un avocat băcăuan pe deputatul Lucian
Ciubotaru într-un dosar al DNA, pentru înjumătăţirea propriei pedepse","Avocatul Cristian Cojocaru a încercat să-l influenţeze pe deputatul băcăuan Lucian Ciubotaru să intervină pe lângă fostul şef al legiştilor băcăuani, Marcel Bădără, pentru a-i micşora valoarea alcoolemiei unui apropiat prins băut la volan. După ce a denunţat asta la DNA, miercuri, 6 aprilie, avocatul Cristian Cojocaru a fost condamnat de ICCJ la un an şi şase luni de închisoare, adică jumătate din pedeapsa primită la Curtea de Apel Bacău.",Bacău,04-07-16,http://adevarul.ro/locale/bacau/cum-l-a-agatat-avocat-bacauan-deputatul-lucianciubotaru-intr-un-dosar-dna-injumatatirea-propriei-pedepse-1_570621ca5ab6550cb8b9dc2e/index.html,Adevarul
,,"Cum erau pedepsiţi consilierii orădeni care nu-şi respectau colegii sau orădenii care ieşeau pe stradă, seara, fără felinar","Cea mai reprezentativă clădire din Oradea, Palatul Vulturul Negru, a fost ridicată pe locul unei berării care a adăpostit şi primăria oraşului. Deciziile aleşilor locali din aceea vreme erau destul de aspre, dar şi hilare în acelaşi timp, consilierii fiind aspru amendaţi dacă ieşeau seara din casă fără felinar sau dacă se adresau urât colegilor.",Oradea,03-30-16,http://adevarul.ro/locale/oradea/cum-erau-pedepsiti-consilieri-oradeni-nu-si-respectau-colegii-ieseau-strada-seara-felinar-1_56fa9c5d5ab6550cb85b9888/index.html,Adevarul
,,"Dan Puric, despre cinematografia românească: „Tot ce este premiat afară e cu scuipat pe România. În teatru e blasfemie, se poartă patologii sexuale“","“Ce însemnă să fii român” este întrebarea la care a răspuns Dan Puric la o conferinţă organizată la Cluj. Artistul este de părere că astăzi ""a devenit interzis să iubeşti poporul român, să vorbeşti despre acest popor, nu în termeni laudativi, dar măcar normal. Se poartă culpabilizarea, se poartă înjurătura"". El a criticat tendinţele din cinematografie şi teatru de a se apleca asupra problemelor sociale şi de a nu trata problemele fundamentale.",Cluj-Napoca,04-06-16,http://adevarul.ro/locale/cluj-napoca/dan-puric-despre-cinematografia-romaneasca-tot-premiat-afara-e-scuipat-romania-In-teatru-e-blasfemie-poarta-patologii-sexuale-1_570506c55ab6550cb8ae5195/index.html,Adevarul
,,Poveştile Pădurii Craiului ajung în Norvegia. Doi bihoreni se întâlnesc cu nordicii care iubesc natura,"Doi reprezentanţi ai Centrului pentru Arii Protejate şi Dezvoltare Durabilă Bihor se întâlnesc cu iubitorii naturii din Norvegia. Diana Popa, managerul peşterilor turistice administrate de  C.A.P.D.D. Bihor, şi Paul Iacobaş, preşedintele asociaţiei, se vor întâlni cu locuitori ai oraşelor Oslo şi Bergen pentru a le prezenta potenţialul turistic şi natural al Munţilor Pădurea Craiului, dar şi alte destinaţii eco-turistice din România.",Oradea,03-29-16,http://adevarul.ro/locale/oradea/povestile-padurii-craiului-ajung-norvegia-doi-bihoreni-intalnesc-nordicii-iubesc-natura-1_56fa27945ab6550cb857c625/index.html,Adevarul
,,"Cum facem cele mai bune eclere din ingrediente
naturale","Eclerele sunt prăjituri deosebit de apreciate, pe
care le găsim în orice cofetărie. Sunt absolut delicioase, iar reţeta este
suficient de simplă pentru a putea fi pregătită de oricine doreşte, cu sau fără
prea multă experienţă în bucătărie.",Baia Mare,03-31-16,http://adevarul.ro/locale/baia-mare/cum-facem-cele-mai-bune-eclere-ingredientenaturale-1_56fbe21b5ab6550cb8651801/index.html,Adevarul
,,"Avocatul Cristian Cojocaru, denunţătorul din dosarul „Ciubotaru-Bădără“, a fost condamnat la un an şi şase luni de închisoare, cu executare","Cristian Cojocaru a primit astăzi, la Înalta Curte de Casaţie şi Justiţie, o pedeapsă de un an şi şase luni de închisoare, cu executarea pedepsei, pentru trafic de influenţă. El a reuşit să-şi înjumătăţească pedeapsa dată de Curtea de Apel Bacău, de doi ani şi 10 luni de închisoare, după ce a ajutat la „producerea“ dosarului Ciubotaru-Bădără, în care aceştia sunt acuzaţi că au încercat influenţarea rezultatului alcolemiei unui şofer băut.",Bacău,04-06-16,http://adevarul.ro/locale/bacau/avocatul-cristian-cojocaru-denuntatorul-dosarul-ciubotaru-badara-fost-condamnat-an-sase-luni-inchisoare-executare-1_5704c9f35ab6550cb8abe03a/index.html,Adevarul
,,"Primăria Bacău dă tichete pentru pensionari în perioada electorală, după ce i-a premiat deja pe elevi, profesori, sportivi şi antrenori","Administraţia liberală de la Bacău şi-a dozat electoral premierile de anul acesta. După ce au fost premiaţi, pe 25 martie, toţi sportivii şi antrenorii din Bacău, la Gala Sportului Băcăuan, care avea loc de obicei în decembrie, la începutul lui aprilie au fost daţi bani pentru elevi şi profesori la Gala Învăţământului iar începând de pe 7 aprilie, până pe 30 iunie, vor primi bani şi pensionarii.",Bacău,04-06-16,http://adevarul.ro/locale/bacau/primaria-bacau-tichete-pensionari-perioada-electorala-i-a-premiat-elevi-profesori-sportivi-antrenori-1_5704dad15ab6550cb8ac9f40/index.html,Adevarul
